"","phage1","phage2","phage3","phage4","phage5","phage6","phage7","phage8"
"p2.B3","2",NA,NA,NA,NA,NA,NA,NA
"p2.B4","2",NA,NA,NA,NA,NA,NA,NA
"p2.B5","1","1",NA,NA,NA,NA,NA,NA
"p2.B6","1","4",NA,NA,NA,NA,NA,NA
"p2.B7","1","3","2",NA,NA,NA,NA,NA
"p2.B8","2",NA,NA,NA,NA,NA,NA,NA
"p2.B9","2",NA,NA,NA,NA,NA,NA,NA
"p2.C1","3","2",NA,NA,NA,NA,NA,NA
"p2.C10","2","1",NA,NA,NA,NA,NA,NA
"p2.C11","1","2",NA,NA,NA,NA,NA,NA
"p2.C2","2",NA,NA,NA,NA,NA,NA,NA
"p2.C3","2",NA,NA,NA,NA,NA,NA,NA
"p2.C4","2","4",NA,NA,NA,NA,NA,NA
"p2.C5","2","1","1","4","1",NA,NA,NA
"p2.C6","1","3","4",NA,NA,NA,NA,NA
"p2.C7","3","1","2",NA,NA,NA,NA,NA
"p2.C8","2",NA,NA,NA,NA,NA,NA,NA
"p2.C9","1","1","1",NA,NA,NA,NA,NA
"p2.D1","2","1",NA,NA,NA,NA,NA,NA
"p2.D10","2","3",NA,NA,NA,NA,NA,NA
"p2.D2","2","3",NA,NA,NA,NA,NA,NA
"p2.D3","1","2",NA,NA,NA,NA,NA,NA
"p2.D4","1","1","1","1","3",NA,NA,NA
"p2.D5","2","4",NA,NA,NA,NA,NA,NA
"p2.D6","2",NA,NA,NA,NA,NA,NA,NA
"p2.D7","2",NA,NA,NA,NA,NA,NA,NA
"p2.D8","2",NA,NA,NA,NA,NA,NA,NA
"p2.D9","3","1","2","4",NA,NA,NA,NA
"p2.E1","2","3",NA,NA,NA,NA,NA,NA
"p2.E10","1","1","1",NA,NA,NA,NA,NA
"p2.E2","2","3",NA,NA,NA,NA,NA,NA
"p2.E3","2",NA,NA,NA,NA,NA,NA,NA
"p2.E4","1",NA,NA,NA,NA,NA,NA,NA
"p2.E6","2",NA,NA,NA,NA,NA,NA,NA
"p2.E7","2",NA,NA,NA,NA,NA,NA,NA
"p2.E8","2",NA,NA,NA,NA,NA,NA,NA
"p2.E9","2",NA,NA,NA,NA,NA,NA,NA
"p2.F1","4","1","1",NA,NA,NA,NA,NA
"p2.F10","2","3",NA,NA,NA,NA,NA,NA
"p2.F11","2","3",NA,NA,NA,NA,NA,NA
"p2.F12","2",NA,NA,NA,NA,NA,NA,NA
"p2.F2","2","1","4",NA,NA,NA,NA,NA
"p2.F3","4","2","1",NA,NA,NA,NA,NA
"p2.F4","3","2",NA,NA,NA,NA,NA,NA
"p2.F5","2","3",NA,NA,NA,NA,NA,NA
"p2.F8","3","2","4",NA,NA,NA,NA,NA
"p2.F9","2",NA,NA,NA,NA,NA,NA,NA
"p2.G1","4",NA,NA,NA,NA,NA,NA,NA
"p2.G10","1",NA,NA,NA,NA,NA,NA,NA
"p2.G2","1","4",NA,NA,NA,NA,NA,NA
"p2.G3","1","2","4",NA,NA,NA,NA,NA
"p2.G4","2","4",NA,NA,NA,NA,NA,NA
"p2.G5","2","2","4","4","1","1",NA,NA
"p2.G6","4","2",NA,NA,NA,NA,NA,NA
"p2.G7","2","4","1",NA,NA,NA,NA,NA
"p2.G8","2","1","4",NA,NA,NA,NA,NA
"p2.G9","1","1",NA,NA,NA,NA,NA,NA
"p2.H1","1","2","4",NA,NA,NA,NA,NA
"p2.H10","1",NA,NA,NA,NA,NA,NA,NA
"p2.H4","4","2",NA,NA,NA,NA,NA,NA
"p2.H5","2","4",NA,NA,NA,NA,NA,NA
"p2.H6","2","4",NA,NA,NA,NA,NA,NA
"p2.H7","1","4","2",NA,NA,NA,NA,NA
"p2.H8","2","1","4",NA,NA,NA,NA,NA
"p2.H9","1","1",NA,NA,NA,NA,NA,NA
"p20.A1","2",NA,NA,NA,NA,NA,NA,NA
"p20.A10","4",NA,NA,NA,NA,NA,NA,NA
"p20.A11","2","3",NA,NA,NA,NA,NA,NA
"p20.A12","2",NA,NA,NA,NA,NA,NA,NA
"p20.A2","4","2","1",NA,NA,NA,NA,NA
"p20.A3","3","2",NA,NA,NA,NA,NA,NA
"p20.A4","2","3","4",NA,NA,NA,NA,NA
"p20.A5","4","2","4",NA,NA,NA,NA,NA
"p20.A7","4","4","2","1","4",NA,NA,NA
"p20.A8","2",NA,NA,NA,NA,NA,NA,NA
"p20.B1","2",NA,NA,NA,NA,NA,NA,NA
"p20.B10","4",NA,NA,NA,NA,NA,NA,NA
"p20.B11","2","3",NA,NA,NA,NA,NA,NA
"p20.B12","2",NA,NA,NA,NA,NA,NA,NA
"p20.B2","1","4","2",NA,NA,NA,NA,NA
"p20.B3","2","3",NA,NA,NA,NA,NA,NA
"p20.B4","3","4","2",NA,NA,NA,NA,NA
"p20.B5","2","4","4",NA,NA,NA,NA,NA
"p20.B7","2","1","4",NA,NA,NA,NA,NA
"p20.B8","2",NA,NA,NA,NA,NA,NA,NA
"p20.C1","1","2","1",NA,NA,NA,NA,NA
"p20.C10","3","2",NA,NA,NA,NA,NA,NA
"p20.C11","2","3",NA,NA,NA,NA,NA,NA
"p20.C12","2",NA,NA,NA,NA,NA,NA,NA
"p20.C2","2","4","1",NA,NA,NA,NA,NA
"p20.C3","2","3",NA,NA,NA,NA,NA,NA
"p20.C4","4","3","2","1",NA,NA,NA,NA
"p20.C5","2","4","4",NA,NA,NA,NA,NA
"p20.C7","1","2","4",NA,NA,NA,NA,NA
"p20.C9","2",NA,NA,NA,NA,NA,NA,NA
"p20.D1","2",NA,NA,NA,NA,NA,NA,NA
"p20.D10","3","2",NA,NA,NA,NA,NA,NA
"p20.D11","2","3",NA,NA,NA,NA,NA,NA
"p20.D12","2",NA,NA,NA,NA,NA,NA,NA
"p20.D2","1","2","4",NA,NA,NA,NA,NA
"p20.D3","2","3",NA,NA,NA,NA,NA,NA
"p20.D4","3","2","4",NA,NA,NA,NA,NA
"p20.D5","4","2","4",NA,NA,NA,NA,NA
"p20.D7","4","1","2",NA,NA,NA,NA,NA
"p20.D8","2",NA,NA,NA,NA,NA,NA,NA
"p20.E1","2",NA,NA,NA,NA,NA,NA,NA
"p20.E10","2",NA,NA,NA,NA,NA,NA,NA
"p20.E11","3","2",NA,NA,NA,NA,NA,NA
"p20.E12","2",NA,NA,NA,NA,NA,NA,NA
"p20.E2","1","4","2",NA,NA,NA,NA,NA
"p20.E3","2","3",NA,NA,NA,NA,NA,NA
"p20.E4","4","2","3",NA,NA,NA,NA,NA
"p20.E5","2","4","4",NA,NA,NA,NA,NA
"p20.E7","2",NA,NA,NA,NA,NA,NA,NA
"p20.E8","2",NA,NA,NA,NA,NA,NA,NA
"p20.E9","2",NA,NA,NA,NA,NA,NA,NA
"p20.F1","2",NA,NA,NA,NA,NA,NA,NA
"p20.F10","2",NA,NA,NA,NA,NA,NA,NA
"p20.F11","3","2",NA,NA,NA,NA,NA,NA
"p20.F12","2",NA,NA,NA,NA,NA,NA,NA
"p20.F2","1","2","4",NA,NA,NA,NA,NA
"p20.F3","3","2",NA,NA,NA,NA,NA,NA
"p20.F4","3","2","4",NA,NA,NA,NA,NA
"p20.F5","2","4","4",NA,NA,NA,NA,NA
"p20.F8","2",NA,NA,NA,NA,NA,NA,NA
"p20.F9","2","3",NA,NA,NA,NA,NA,NA
"p20.G1","2",NA,NA,NA,NA,NA,NA,NA
"p20.G10","2",NA,NA,NA,NA,NA,NA,NA
"p20.G11","3","2",NA,NA,NA,NA,NA,NA
"p20.G12","2",NA,NA,NA,NA,NA,NA,NA
"p20.G2","1","2","4",NA,NA,NA,NA,NA
"p20.G3","3","2",NA,NA,NA,NA,NA,NA
"p20.G4","3","4","2",NA,NA,NA,NA,NA
"p20.G5","2","4","4",NA,NA,NA,NA,NA
"p20.G7","1","2","4","4","1",NA,NA,NA
"p20.G8","2",NA,NA,NA,NA,NA,NA,NA
"p20.G9","2",NA,NA,NA,NA,NA,NA,NA
"p20.H1","2",NA,NA,NA,NA,NA,NA,NA
"p20.H10","3","2",NA,NA,NA,NA,NA,NA
"p20.H11","3","2",NA,NA,NA,NA,NA,NA
"p20.H12","2",NA,NA,NA,NA,NA,NA,NA
