"","phage1","phage2","phage3","phage4","phage5","phage6","phage7","phage8"
"p9.B11","2",NA,NA,NA,NA,NA,NA,NA
"p9.B12","1","4","3","2",NA,NA,NA,NA
"p9.B2","1","2","1","4",NA,NA,NA,NA
"p9.B3","2",NA,NA,NA,NA,NA,NA,NA
"p9.B4","2",NA,NA,NA,NA,NA,NA,NA
"p9.B5","2",NA,NA,NA,NA,NA,NA,NA
"p9.B6","2",NA,NA,NA,NA,NA,NA,NA
"p9.B7","2",NA,NA,NA,NA,NA,NA,NA
"p9.B8","3","2",NA,NA,NA,NA,NA,NA
"p9.B9","3","2",NA,NA,NA,NA,NA,NA
"p9.C1","3","2",NA,NA,NA,NA,NA,NA
"p9.C10","2",NA,NA,NA,NA,NA,NA,NA
"p9.C11","2",NA,NA,NA,NA,NA,NA,NA
"p9.C12","2","1",NA,NA,NA,NA,NA,NA
"p9.C2","2",NA,NA,NA,NA,NA,NA,NA
"p9.C3","2","1","1","4","1","4",NA,NA
"p9.C4","1","1",NA,NA,NA,NA,NA,NA
"p9.C5","2",NA,NA,NA,NA,NA,NA,NA
"p9.C6","2",NA,NA,NA,NA,NA,NA,NA
"p9.C7","2",NA,NA,NA,NA,NA,NA,NA
"p9.C8","2",NA,NA,NA,NA,NA,NA,NA
"p9.C9","2",NA,NA,NA,NA,NA,NA,NA
"p9.D1","2","3",NA,NA,NA,NA,NA,NA
"p9.D10","1",NA,NA,NA,NA,NA,NA,NA
"p9.D12","2",NA,NA,NA,NA,NA,NA,NA
"p9.D2","2",NA,NA,NA,NA,NA,NA,NA
"p9.D3","1","2","4",NA,NA,NA,NA,NA
"p9.D4","4","2",NA,NA,NA,NA,NA,NA
"p9.D5","2",NA,NA,NA,NA,NA,NA,NA
"p9.D6","2",NA,NA,NA,NA,NA,NA,NA
"p9.D7","2","4",NA,NA,NA,NA,NA,NA
"p9.D8","2",NA,NA,NA,NA,NA,NA,NA
"p9.D9","2",NA,NA,NA,NA,NA,NA,NA
"p9.E1","4","1","2","1","4",NA,NA,NA
"p9.E10","2","3",NA,NA,NA,NA,NA,NA
"p9.E11","3","2",NA,NA,NA,NA,NA,NA
"p9.E2","2","3",NA,NA,NA,NA,NA,NA
"p9.E3","2","3",NA,NA,NA,NA,NA,NA
"p9.E4","2","1",NA,NA,NA,NA,NA,NA
"p9.E5","2",NA,NA,NA,NA,NA,NA,NA
"p9.E6","1","2",NA,NA,NA,NA,NA,NA
"p9.E7","2",NA,NA,NA,NA,NA,NA,NA
"p9.E8","2",NA,NA,NA,NA,NA,NA,NA
"p9.E9","2","1",NA,NA,NA,NA,NA,NA
"p9.F1","2","4","3",NA,NA,NA,NA,NA
"p9.F10","3","2",NA,NA,NA,NA,NA,NA
"p9.F11","3","2",NA,NA,NA,NA,NA,NA
"p9.F2","3","2",NA,NA,NA,NA,NA,NA
"p9.F3","2","3",NA,NA,NA,NA,NA,NA
"p9.F4","1","2",NA,NA,NA,NA,NA,NA
"p9.F5","2",NA,NA,NA,NA,NA,NA,NA
"p9.F6","2",NA,NA,NA,NA,NA,NA,NA
"p9.F7","2",NA,NA,NA,NA,NA,NA,NA
"p9.F8","2",NA,NA,NA,NA,NA,NA,NA
"p9.F9","1","2",NA,NA,NA,NA,NA,NA
"p9.G1","3","2","1",NA,NA,NA,NA,NA
"p9.G10","2",NA,NA,NA,NA,NA,NA,NA
"p9.G12","2",NA,NA,NA,NA,NA,NA,NA
"p9.G2","1","2","1",NA,NA,NA,NA,NA
"p9.G3","2","1","1",NA,NA,NA,NA,NA
"p9.G4","2","4",NA,NA,NA,NA,NA,NA
"p9.G5","2","3",NA,NA,NA,NA,NA,NA
"p9.G6","2",NA,NA,NA,NA,NA,NA,NA
"p9.G7","2",NA,NA,NA,NA,NA,NA,NA
"p9.G8","4","2","3",NA,NA,NA,NA,NA
"p9.H1","1","2","3",NA,NA,NA,NA,NA
"p9.H10","1","2","1",NA,NA,NA,NA,NA
"p9.H2","2",NA,NA,NA,NA,NA,NA,NA
"p9.H3","1","4","3","2",NA,NA,NA,NA
"p9.H4","3","4","2",NA,NA,NA,NA,NA
"p9.H5","2",NA,NA,NA,NA,NA,NA,NA
"p9.H6","3","2","4","1",NA,NA,NA,NA
"p9.H7","2","3","4",NA,NA,NA,NA,NA
"p9.H8","4",NA,NA,NA,NA,NA,NA,NA
